recipe_code_main,l3_avg_vol_share,l3_avg_uptake,l3_avg_score_w_scm,l3_avg_score_wo_scm,l3_avg_share_1star,l3_avg_share_1star_wo_scm,lt_avg_vol_share,lt_avg_uptake,lt_avg_score_w_scm,lt_avg_score_wo_scm,lt_avg_share_1star,lt_avg_share_1star_wo_scm
RC158348,0.015969071067617246,0.05416892652997194,3.4340041279669764,3.475596816976127,0.0498968008255933950000,0.0502652519893899205000,0.015969071067617246,0.05416892652997194,3.4340041279669764,3.475596816976127,0.0498968008255933950000,0.0502652519893899205000
RC158362,0.015416752920253232,0.052442035647485924,3.4418217872449306,3.495105421686747,0.0593616068572890680000,0.0514139892904953145000,0.015416752920253232,0.052442035647485924,3.4418217872449306,3.495105421686747,0.0593616068572890680000,0.0514139892904953145000
RC158363,0.008333604412264835,0.028080081177841127,3.365276309860309,3.4016916889257316,0.0577805087870222440000,0.0469804427251235763333,0.009499070928820463,0.032460888752126306,3.4181614251815926,3.4805520881583143,0.0484817324075062593333,0.0375216762783656161667
RC158385,0.0028838019050314912,0.009774738930799588,3.517746429815395,3.6525925925925926,0.0186868686868686866667,0.0000000000000000000000,0.003019637946853765,0.010323178045440553,3.5690218416290747,3.673460317460317,0.0160901699926090168000,0.0066666666666666666000
RC158385-SP-1,0.00017713015724479055,0.0005962760870788097,,,,,0.00017713015724479055,0.0005962760870788097,,,,
RC158390,0.00236208973750502,0.008204725008559798,3.625,3.6785714285714284,0.0312500000000000000000,0.0000000000000000000000,0.00236208973750502,0.008204725008559798,3.625,3.6785714285714284,0.0312500000000000000000,0.0000000000000000000000
RC158437,0.0039661616246613384,0.01338526719434476,3.5263590348420073,3.5431583368662363,0.0315553589856995430000,0.0277411402641041343333,0.004963551280782272,0.016942838318728507,3.5193937014268033,3.582059814099097,0.0402271495491601697857,0.0245062700725520907857
RC158437-SP-1,0.00037244458270058124,0.001253795065834115,3.0625,3.0625,0.0625000000000000000000,0.0625000000000000000000,0.00037244458270058124,0.001253795065834115,3.0625,3.0625,0.0625000000000000000000,0.0625000000000000000000
RC158437-SP-2,0.00023880597014925374,0.0008057666761035737,3.3333333333333335,3.5,0.0000000000000000000000,0.0000000000000000000000,0.00023880597014925374,0.0008057666761035737,3.3333333333333335,3.5,0.0000000000000000000000,0.0000000000000000000000
RC158691,0.04267155605061263,0.14559002498025064,3.2745762711864406,3.324324324324324,0.0711864406779661020000,0.0540540540540540540000,0.04267155605061263,0.14559002498025064,3.2745762711864406,3.324324324324324,0.0711864406779661020000,0.0540540540540540540000
RC158692,0.021921648839530752,0.07383454772281377,3.4287581699346408,3.4816838696620116,0.0740429505135387490000,0.0636293983288518810000,0.02657141751302199,0.09058218103389687,3.4177703349844584,3.486433290984882,0.0691635587408472530000,0.0559927650477312966000
