recipe_code_main,l1_2w_aor,l1_2w_aor_expected,l1_rar
RB39502,1.3579021970233878,1.3540760860651992,0.00282562479137094
RB39636,1.283817951959545,1.270366660378324,0.010588511176147453
RB41692,1.383347788378144,1.3933187625678154,-0.007156276408203599
RB41694,1.4258793969849246,1.3976165692698657,0.02022216131125565
RB41710,1.1866452131938858,1.2171723902937879,-0.02508040549008317
RB41881,1.2539772727272727,1.2384550277466784,0.01253355562602576
RB41884,1.3538840937114673,1.3175073741913164,0.027610258760395023
RB42051,1.4240362811791383,1.373161553392417,0.03704933892230988
RB42052,1.171764705882353,1.1113686363937911,0.054343867111939614
RB42125,1.26544315129812,1.2850982208376636,-0.01529460489543888
RB43361,1.434816247582205,1.4013669244728932,0.023869068496741752
RB43361-SP-1,1.4069148936170213,1.4445335180102292,-0.02604205712375962
RB43368,1.1248868778280543,1.091085838535079,0.030979266799354255
RB43797,1.5416666666666667,1.5392414566626413,0.0015755877633931714
RB44034,1.2134146341463414,1.2168308549652787,-0.0028074738612990924
RB44434,1.4696485623003195,1.39238672818423,0.0554887751744404
RB44434-SP-1,1.4166666666666667,1.260353115590959,0.12402361619300217
RB44434-SP-2,1.4912280701754386,1.2723467538923265,0.17202961033501007
RB44451,1.2810457516339868,1.3041483761862398,-0.017714720942882733
RB44747,1.4068441064638784,1.3784882428200813,0.02057026151038266
RB44767,1.017296604740551,1.0217019232786755,-0.004311745370888298
RB44771,1.2686746987951807,1.2816609497784908,-0.01013236065712575
RB45053,1.5249537892791127,1.4347746941270698,0.06285244332867812
RB45056,1.4848484848484849,1.4002153987207033,0.060442904859570934
RB45377,1.342494714587738,1.3616475126922623,-0.014065900261261755
RB46111,1.4841269841269842,1.48135455106877,0.0018715526652373082
RB46122,1.3779385171790235,1.3624507521156657,0.011367577902766657
RB46123,1.4527503526093088,1.400286257423842,0.037466692904625676
RB46300,1.182890855457227,1.1613668594791446,0.018533330620210453
RB46305,1.1224489795918366,1.026798220548067,0.09315438722976643
RB46371,1.27988614800759,1.2825410853042851,-0.00207006023207823
RB46804,1.3342465753424657,1.342535876348415,-0.006174360888213548
RB47805,1.2714535901926445,1.2913916776011538,-0.015439225569074067
RB47805-SP-1,1.2390243902439024,1.2698877696330624,-0.024304021290068922
RB48436,1.3690744920993227,1.3769025921569658,-0.005685296913690796
RB48436-SP-1,1.3166666666666667,1.333230486142573,-0.01242382292339439
