recipe_code_main,l1_rar
RB37948-SP-2,0.01891311816491381
RB37951,-0.0026617133833493067
RB37952,0.019886186727056554
RB37952-SP-1,0.013219391386546375
RB37952-SP-2,-0.05954563346631647
RB37960,-0.005704828431825626
RB37960-SP-1,0.013416708164946334
RB37960-SP-2,-0.00772430748000863
RB38061,0.0021664563788246216
RB38061-SP-1,-0.00643767551463037
RB38061-SP-2,-0.025462457791862847
RB39502,0.002825624791371162
RB39636,0.010588511176146786
RB41692,-0.007156276408203599
RB41694,0.020222161311256093
RB41710,-0.02508040549008339
RB41881,0.012533555626025317
RB41884,0.027610258760395245
RB42051,0.03704933892230988
RB42052,0.054343867111939614
RB42125,-0.015294604895439212
RB43361,0.023869068496741752
RB43361-SP-1,-0.026042057123760065
RB43368,0.030979266799355365
RB43797,0.0015755877633933935
RB44034,-0.0028074738612993144
RB44434,0.055488775174440175
RB44434-SP-1,0.12402361619300173
RB44434-SP-2,0.17202961033500985
RB44451,-0.01771472094288229
RB44747,0.02057026151038266
RB44767,-0.004311745370888076
RB44771,-0.010132360657125528
RB45053,0.06285244332867856
RB45056,0.06044290485957071
RB45377,-0.014065900261262088
RB46111,0.0018715526652373082
RB46122,0.011367577902766657
RB46123,0.03746669290462523
RB46300,0.018533330620210453
RB46305,0.09315438722976643
RB46371,-0.0020700602320785633
RB46804,-0.006174360888213659
RB47805,-0.015439225569074067
RB47805-SP-1,-0.0243040212900687
RB48436,-0.005685296913691018
RB48436-SP-1,-0.012423822923395167
RB48470,0.04187926060417646
RB48470-SP-1,0.004195130075610676
RB48476,0.06742875210642296
RB48476-SP-1,-0.06999194045723
RB48476-SP-2,-0.20788421170185578
RB48802,-0.009916158554800547
RB48802-SP-1,-0.0163783702666932
RB48903,0.011043142472885403
RB49203,-0.01604309313847374
RB49203-SP-1,0.030223412484516876
RB49204,-0.004290353821634341
RB49204-SP-1,0.06406081445674427
RB49204-SP-2,0.05032949671452469
RB49205,-0.0002441849995042933
RB49205-SP-1,0.026248184951408682
RB49375,-0.008738661466496156
RB49444,0.013078362309483893
RB49525,-0.022669461031663896
RB49525-SP-1,-0.004948522277492651
RB49525-SP-2,0.06694937039717774
RB49572,-0.0005131264930402502
RB50161,0.02661794463876821
RB51141,-0.02737650170038397
RB51141-SP-1,-0.05300988514938587
RB51141-SP-2,-0.23064599026745658
RB51141-SP-3,-0.6200064591178158
RB51141-SP-4,0.04203062948812786
RB51197,-0.00047808977159879973
RB51197-SP-1,-0.01451641767845624
RB51198,0.022307169598037913
RB51198-SP-1,-0.018521655000723558
RB51201,0.0027846691414341596
RB51201-SP-1,0.09521904935361913
RB51201-SP-3,-0.08072989839459033
RB51201-SP-4,0.06292746950400652
RB51201-SP-5,0.1687664405323146
RB51221,0.019438216751987758
RB51222,-0.008440520309769495
RB51222-SP-1,0.09987351528721944
RB51222-SP-2,0.25292700755193565
RB51222-SP-3,0.46225208375575066
RB51222-SP-4,0.0507287881400762
RB51444,-0.012477149328173565
RB51444-SP-1,-0.15109730226558094
RB51444-SP-2,0.19467606011914107
RB51444-SP-3,-0.020294901080478822
RB51444-SP-4,0.05715349218619936
RB51445,-0.02057816376840027
RB51445-SP-1,0.07299520545399685
RB51445-SP-2,-0.10545861981305216
RB51445-SP-3,0.08068960032856554
RB51445-SP-4,0.024429168137418467
RB51459,-0.009257625973905559
RB51459-SP-1,0.4237642282791534
RB51459-SP-2,-0.2401049567008472
RB51459-SP-3,0.2359850165781603
RB51459-SP-4,0.08733469014754736
RB51491,-0.002516200641910493
RB51491-SP-1,-0.009618154424698822
